net,length_um
_123_,145.56
_124_,90.92
_076_,90.66
_125_,90.56
clknet_2_1__leaf_clk,73.94
_089_,73.9
net12,72.8
net16,72.42
clknet_2_0__leaf_clk,69.22
clknet_2_3__leaf_clk,65.04
clknet_2_2__leaf_clk,63.14
clknet_0_clk,61.31
_087_,61.1
_122_,60.48
_088_,58
_091_,56.5
bg.baud_tick,51.4
net20,49.38
clk,48.6
net6,48.54
net18,46.26
_092_,46.16
net3,44.82
txu.bit_count\[2\],42.48
net1,41.72
net13,41.5
txu.shift_reg\[7\],39.19
_084_,37.56
_085_,36.48
net21,36.02
txu.busy,34.86
net14,34.72
txu.bit_count\[0\],34.14
rst,33.32
_110_,32.96
net5,31.34
net11,30.98
data[6],30.91
net17,29.38
rxu.busy,26.4
data[3],25.7
txu.bit_count\[1\],25.2
rx_data[4],23.85
rx_data[1],22.56
_105_,22.28
_086_,22.12
tx_done,21.46
_074_,21.42
bg.count\[0\],20.08
_083_,19.88
net4,19.86
txu.shift_reg\[0\],19.77
_120_,19.7
rxu.bit_count\[0\],19.45
txu.bit_count\[3\],19.36
net10,18.72
txu.shift_reg\[3\],18.53
txu.shift_reg\[2\],18.51
rx_data[0],18
rxu.bit_count\[2\],17.74
rx_data[2],17.66
_113_,17.58
data[7],16.98
_000_,16.94
_051_,16.66
rx_data[3],15.72
_004_,15.68
_109_,15.5
_020_,15.14
_028_,14.97
_059_,14.82
_082_,14.72
_057_,14.7
net15,14.64
txu.shift_reg\[4\],14.03
data[0],13.62
bg.count\[2\],13.24
net19,13
txu.shift_reg\[6\],12.87
_081_,12.62
data[2],12.13
_080_,11.98
tx_start,11.75
rx_data[6],11.67
_104_,11.62
_077_,11.1
_072_,11.04
rx_data[7],11
bg.count\[1\],10.84
_005_,10.72
_064_,10.6
_117_,10.24
txu.shift_reg\[5\],10.05
_045_,10.02
txu.shift_reg\[1\],10.01
_111_,9.88
net7,9.875
_068_,9.725
data[1],9.41
_056_,9.32
net8,9.28
txu.shift_reg\[8\],9.25
rxu.bit_count\[1\],9.12
rx_done,8.96
_033_,8.89
_069_,8.6
_055_,8.56
_075_,8.4
_065_,8.36
bg.count\[3\],8.32
net24,8.24
_114_,7.76
_047_,7.68
_043_,7.54
net22,7.46
_049_,7.4
data[5],7.33
_031_,7.32
_029_,7.29
_008_,7.28
net9,7.26
_094_,7.12
_100_,6.96
_090_,6.9
rxu.bit_count\[3\],6.9
_012_,6.84
_099_,6.64
_039_,6.6
_010_,6.55
_014_,6.48
_019_,6.45
_050_,6.4
_060_,6.32
_115_,6.26
_041_,6.02
_044_,5.96
_119_,5.86
_071_,5.84
_070_,5.8
_108_,5.72
_073_,5.28
_078_,5.26
_018_,5.15
_030_,5.14
data[4],4.95
tx,4.95
net2,4.88
_038_,4.73
txu.shift_reg\[9\],4.555
_026_,4.51
_112_,4.44
_121_,4.34
_009_,4.15
_021_,4.12
_052_,4.08
_097_,4
_022_,3.98
_107_,3.98
_023_,3.95
rx_data[5],3.93
_101_,3.7
_025_,3.61
_006_,3.49
_106_,3.44
net23,3.42
_011_,3.35
_016_,3.2
_013_,3.18
_017_,3.13
_002_,3.08
_062_,3.08
_066_,3.08
_093_,3.08
_116_,3.08
_061_,2.96
_102_,2.96
_003_,2.84
_015_,2.84
_034_,2.84
_118_,2.84
_001_,2.62
_095_,2.62
_103_,2.62
_036_,2.5
_058_,2.5
_040_,2.38
_063_,2.3
_079_,2.3
_024_,2.28
_007_,2.23
_037_,2.23
_042_,2.18
_048_,2.18
_053_,2.18
_032_,1.82
_035_,1.82
_046_,1.82
_067_,1.82
_027_,1.36
_054_,1.36
_096_,0.46
_098_,0.46
